,latitude,longitude,speeds
297,52.53321,13.38687,2.0
298,52.53321,13.38687,2.0
299,52.53296,13.38629,2.0
300,52.53284,13.38605,2.0
301,52.53284,13.38605,2.0
302,52.53271,13.38576,2.0
303,52.53271,13.38576,2.0
304,52.53261,13.38551,2.0
305,52.53253,13.38531,2.0
306,52.5324,13.38514,2.0
307,52.5324,13.38514,2.0
308,52.53232,13.38499,2.0
309,52.5322,13.38472,2.0
310,52.53207,13.38437,2.0
311,52.53207,13.38437,2.0
312,52.53199,13.38413,2.0
313,52.53199,13.38413,2.0
314,52.53192,13.38394,2.0
315,52.53179,13.38349,2.0
316,52.53171,13.38326,2.0
317,52.53165,13.3831,2.0
318,52.53159,13.38296,2.0
319,52.5315,13.38275,2.0
320,52.53138,13.38248,2.0
321,52.53138,13.38248,2.0
322,52.53129,13.38226,2.0
323,52.53129,13.38226,3.0
324,52.53138,13.38248,3.0
325,52.53138,13.38248,2.0
326,52.5315,13.38275,2.0
327,52.53159,13.38296,2.0
328,52.53165,13.3831,2.0
329,52.53171,13.38326,2.0
330,52.53179,13.38349,2.0
331,52.53192,13.38394,2.0
332,52.53199,13.38413,2.0
333,52.53199,13.38413,2.0
334,52.53207,13.38437,2.0
335,52.53207,13.38437,2.0
336,52.5322,13.38472,2.0
337,52.53232,13.38499,2.0
338,52.5324,13.38514,2.0
339,52.5324,13.38514,2.0
340,52.53247,13.38537,2.0
341,52.53261,13.3857,2.0
342,52.53274,13.386,2.0
343,52.53278,13.38609,2.0
344,52.53278,13.38609,2.0
345,52.53303,13.38667,2.0
346,52.53303,13.38667,2.0
347,52.53314,13.38694,2.0
348,52.53314,13.38694,2.0
349,52.53321,13.38711,2.0
350,52.53321,13.38711,2.0
351,52.5334,13.38758,2.0
352,52.5334,13.38758,2.0
353,52.53349,13.38778,2.0
354,52.53355,13.38791,2.0
355,52.53364,13.38802,2.0
356,52.53364,13.38802,2.0
357,52.53378,13.3882,2.0
358,52.53378,13.3882,2.0
359,52.53425,13.38873,2.0
360,52.53425,13.38873,2.0
361,52.53443,13.38893,2.0
362,52.53443,13.38893,2.0
363,52.53474,13.38929,2.0
364,52.53474,13.38929,2.0
365,52.5348,13.38935,2.0
366,52.5348,13.38935,2.0
367,52.53488,13.38944,2.0
368,52.53488,13.38944,2.0
369,52.53499,13.38957,2.0
370,52.53499,13.38957,2.0
371,52.53509,13.38968,2.0
372,52.53509,13.38968,2.0
373,52.53529,13.38992,2.0
374,52.53529,13.38992,2.0
375,52.53534,13.38998,2.0
376,52.53544,13.39012,2.0
377,52.53544,13.39012,2.0
378,52.53549,13.3902,2.0
379,52.53549,13.3902,2.0
380,52.53555,13.39029,2.0
381,52.53555,13.39029,2.0
382,52.53565,13.39044,2.0
383,52.53565,13.39044,2.0
384,52.53598,13.39095,2.0
385,52.53605,13.39105,2.0
386,52.53605,13.39105,2.0
387,52.5362,13.39129,2.0
388,52.5362,13.39129,2.0
389,52.53645,13.39169,2.0
390,52.53645,13.39169,2.0
391,52.53672,13.39212,2.0
392,52.53672,13.39212,2.0
393,52.53686,13.39235,2.0
394,52.53704,13.39264,2.0
395,52.53709,13.39271,2.0
396,52.53709,13.39271,2.0
397,52.53726,13.39298,2.0
398,52.53744,13.39327,2.0
399,52.53744,13.39327,2.0
400,52.53751,13.39345,2.0
401,52.53761,13.39374,2.0
402,52.53767,13.39394,2.0
403,52.53767,13.39394,2.0
404,52.53786,13.3946,2.0
405,52.53786,13.3946,2.0
406,52.53798,13.39499,2.0
407,52.53798,13.39499,2.0
408,52.53826,13.39593,2.0
409,52.53826,13.39593,2.0
410,52.5383,13.39608,2.0
411,52.5383,13.39608,3.0
412,52.53837,13.39638,3.0
413,52.53837,13.39638,3.0
414,52.53844,13.39663,3.0
415,52.53844,13.39663,3.0
416,52.53853,13.397,3.0
417,52.53853,13.397,3.0
418,52.53861,13.39729,3.0
419,52.53861,13.39729,3.0
420,52.53867,13.39751,3.0
421,52.53867,13.39751,3.0
422,52.53882,13.39799,3.0
423,52.53882,13.39799,3.0
424,52.53911,13.39902,3.0
425,52.53911,13.39902,3.0
426,52.5394,13.40006,3.0
427,52.5394,13.40006,3.0
428,52.53946,13.40028,3.0
429,52.53946,13.40028,3.0
430,52.53954,13.40053,3.0
431,52.53954,13.40053,3.0
432,52.53968,13.40105,3.0
433,52.53968,13.40105,3.0
434,52.53982,13.40159,3.0
435,52.53982,13.40159,3.0
436,52.53996,13.40209,3.0
437,52.53996,13.40209,3.0
438,52.54004,13.40238,3.0
439,52.54004,13.40238,3.0
440,52.5401,13.40257,3.0
441,52.5401,13.40257,3.0
442,52.54015,13.40275,3.0
443,52.54015,13.40275,3.0
444,52.54037,13.40345,3.0
445,52.54037,13.40345,3.0
446,52.5404,13.40355,3.0
447,52.5404,13.40355,3.0
448,52.54055,13.40418,3.0
449,52.54055,13.40418,3.0
450,52.54058,13.4043,3.0
451,52.54058,13.4043,3.0
452,52.54063,13.40453,3.0
453,52.54063,13.40453,3.0
454,52.54071,13.40498,3.0
455,52.54071,13.40498,3.0
456,52.5408,13.40544,3.0
457,52.5408,13.40544,3.0
458,52.54083,13.4056,3.0
459,52.54083,13.4056,3.0
460,52.54086,13.40575,3.0
461,52.54086,13.40575,3.0
462,52.54101,13.40656,3.0
463,52.54103,13.40666,3.0
464,52.54103,13.40666,3.0
465,52.54104,13.40673,3.0
466,52.54104,13.40673,3.0
467,52.54112,13.40715,3.0
468,52.54112,13.40715,3.0
469,52.54116,13.40738,3.0
470,52.54116,13.40738,3.0
471,52.54118,13.40748,3.0
472,52.54119,13.40753,3.0
473,52.54127,13.40791,3.0
474,52.54131,13.40822,3.0
475,52.54131,13.40822,3.0
476,52.54133,13.40839,3.0
477,52.54133,13.40839,3.0
478,52.54133,13.40855,3.0
479,52.54133,13.40855,3.0
480,52.54132,13.40872,3.0
481,52.54132,13.40872,3.0
482,52.54131,13.40883,3.0
483,52.54131,13.40883,3.0
484,52.54129,13.40904,3.0
485,52.54124,13.40966,3.0
486,52.54112,13.41099,3.0
487,52.54112,13.41099,3.0
488,52.54108,13.41142,3.0
489,52.54104,13.41196,3.0
490,52.54104,13.41196,3.0
491,52.54102,13.41221,3.0
492,52.54102,13.41221,3.0
493,52.54101,13.41236,3.0
494,52.56057,13.32189,3.0
495,52.56086,13.32184,3.0
496,52.56086,13.32184,3.0
497,52.56096,13.32181,3.0
498,52.56096,13.32181,3.0
499,52.56102,13.32181,3.0
500,52.56113,13.32182,3.0
501,52.56141,13.3219,3.0
502,52.56141,13.3219,3.0
503,52.56155,13.32192,3.0
504,52.56161,13.32192,3.0
505,52.56167,13.32191,3.0
506,52.56173,13.32189,3.0
507,52.56185,13.32183,3.0
508,52.56194,13.32176,3.0
509,52.56202,13.32165,3.0
510,52.56216,13.32142,3.0
511,52.56235,13.32101,3.0
512,52.56242,13.32085,3.0
513,52.56242,13.32085,3.0
514,52.56261,13.32033,3.0
515,52.56294,13.31934,3.0
516,52.56308,13.31892,3.0
517,52.56328,13.31824,3.0
518,52.56368,13.31681,3.0
519,52.56397,13.31567,3.0
520,52.56397,13.31567,3.0
521,52.56406,13.31533,3.0
522,52.56406,13.31533,3.0
523,52.56434,13.31433,3.0
524,52.56434,13.31433,3.0
525,52.56461,13.31331,3.0
526,52.56461,13.31331,3.0
527,52.565,13.31185,3.0
528,52.56524,13.31098,3.0
529,52.56524,13.31098,3.0
530,52.56532,13.31071,3.0
531,52.56532,13.31071,3.0
532,52.56543,13.31033,3.0
533,52.56546,13.31024,3.0
534,52.56553,13.30998,3.0
535,52.5657,13.30946,3.0
536,52.56584,13.30907,3.0
537,52.56584,13.30907,3.0
538,52.56598,13.30871,3.0
539,52.5661,13.30843,3.0
540,52.56619,13.30825,3.0
541,52.56625,13.30814,3.0
542,52.56625,13.30814,3.0
543,52.56639,13.3079,3.0
544,52.56654,13.30768,3.0
545,52.56654,13.30768,3.0
546,52.56674,13.30738,3.0
547,52.5669,13.30718,3.0
548,52.56714,13.30693,3.0
549,52.56748,13.30659,3.0
550,52.56751,13.30635,3.0
551,52.56717,13.30673,3.0
552,52.56717,13.30673,3.0
553,52.56709,13.30682,3.0
554,52.56683,13.30713,3.0
555,52.56658,13.30747,3.0
556,52.56658,13.30747,3.0
557,52.56634,13.30785,3.0
558,52.56611,13.30826,3.0
559,52.56611,13.30826,3.0
560,52.566,13.30849,3.0
561,52.5658,13.30895,3.0
562,52.56553,13.30971,3.0
563,52.56545,13.30998,3.0
564,52.56535,13.31029,3.0
565,52.56535,13.31029,3.0
566,52.56523,13.3107,3.0
567,52.56504,13.31141,3.0
568,52.56455,13.3132,3.0
569,52.56455,13.3132,3.0
570,52.56428,13.31418,3.0
571,52.56428,13.31418,3.0
572,52.56413,13.31472,3.0
573,52.56413,13.31472,3.0
574,52.56398,13.31529,3.0
575,52.56398,13.31529,3.0
576,52.56391,13.31554,3.0
577,52.56359,13.31664,3.0
578,52.56357,13.31671,3.0
579,52.56357,13.31671,3.0
580,52.56332,13.31764,3.0
581,52.56315,13.31822,3.0
582,52.56303,13.31861,3.0
583,52.56303,13.31861,3.0
584,52.56287,13.31915,3.0
585,52.56271,13.31963,3.0
586,52.56255,13.3201,3.0
587,52.56255,13.3201,3.0
588,52.5623,13.32078,3.0
589,52.56221,13.32098,3.0
590,52.56211,13.32117,3.0
591,52.56201,13.32133,3.0
592,52.56201,13.32133,3.0
593,52.56189,13.32147,3.0
594,52.56177,13.32158,3.0
595,52.56164,13.32166,3.0
596,52.56156,13.32169,3.0
597,52.56146,13.3217,3.0
598,52.56146,13.3217,3.0
599,52.56133,13.3217,3.0
600,52.56122,13.32168,3.0
601,52.56122,13.32168,3.0
602,52.56098,13.32164,3.0
603,52.56088,13.32163,3.0
604,52.56081,13.32164,3.0
605,52.56081,13.32164,3.0
606,52.56073,13.32166,3.0
607,52.56055,13.32172,3.0
608,52.56701,13.3067,3.0
609,52.56682,13.30688,3.0
610,52.56664,13.30706,3.0
611,52.56648,13.30726,3.0
612,52.56648,13.30726,3.0
613,52.56619,13.30772,3.0
614,52.56619,13.30772,3.0
615,52.56593,13.30819,3.0
616,52.56586,13.30835,3.0
617,52.56586,13.30835,3.0
618,52.56561,13.3089,3.0
619,52.56548,13.30915,3.0
620,52.56543,13.30926,3.0
621,52.56543,13.30926,3.0
622,52.56538,13.30935,3.0
623,52.56531,13.30946,3.0
624,52.56526,13.30953,3.0
625,52.56519,13.30961,3.0
626,52.56519,13.30961,3.0
