geometry,nodes,building:levels,available_beds
"POLYGON ((13.3984149 52.5260536, 13.3984451 52.5259907, 13.3984727 52.5259331, 13.3984697 52.5259286, 13.3984613 52.5259268, 13.3985215 52.5257994, 13.3985297 52.5258003, 13.3985622 52.5257274, 13.3984623 52.5257119, 13.3984181 52.5257052, 13.3983272 52.5256917, 13.3983058 52.5256885, 13.3982925 52.5257175, 13.3982283 52.5258607, 13.3982161 52.5258587, 13.3982178 52.5258545, 13.3982086 52.525853, 13.3982068 52.5258572, 13.3981979 52.5258558, 13.3981948 52.5258628, 13.398202 52.525864, 13.3981954 52.5258794, 13.3981883 52.5258783, 13.3981859 52.5258837, 13.3981931 52.5258849, 13.3981843 52.5259055, 13.3981771 52.5259043, 13.3981747 52.52591, 13.3981819 52.5259112, 13.3981779 52.5259204, 13.3981707 52.5259192, 13.3981661 52.5259301, 13.3981788 52.5259314, 13.3981804 52.5259278, 13.3981938 52.5259307, 13.3981865 52.5259473, 13.3981792 52.5259637, 13.3981711 52.5259624, 13.3981686 52.525968, 13.3981768 52.5259693, 13.3981715 52.5259812, 13.3981634 52.5259799, 13.3981603 52.5259869, 13.3981684 52.5259883, 13.3981592 52.5260094, 13.3984149 52.5260536))","[3903344970, 940860734, 3903344890, 3903344884, 3903344882, 3903344703, 3903344704, 3903344671, 3903344667, 3903344664, 3903344662, 3903344660, 3903344668, 3903344736, 3903344735, 3903344729, 3903344728, 3903344734, 3903344731, 3903344738, 3903344740, 3903344750, 3903344748, 3903344755, 3903344857, 3903344867, 3903344866, 3903344869, 3903344870, 3903344877, 3903344875, 3903344885, 3903344888, 3903344883, 3903344887, 3903344899, 3903344907, 3903344906, 3903344909, 3903344911, 3903344918, 3903344916, 3903344921, 3903344922, 3903344940, 3903344970]",5,145
"POLYGON ((13.3960617 52.5259768, 13.3960588 52.5259835, 13.3960429 52.5259809, 13.3960458 52.5259742, 13.395956 52.5259598, 13.3959531 52.5259665, 13.3959026 52.5259583, 13.3959055 52.5259517, 13.3958585 52.5259441, 13.3959185 52.5258173, 13.3961053 52.5258456, 13.3961081 52.5258387, 13.3961191 52.5258404, 13.3961163 52.5258473, 13.3960617 52.5259768))","[3903344915, 3903344920, 3903344917, 3903344914, 3903344905, 3903344908, 3903344904, 3903344901, 3903344896, 3903344711, 3903344726, 3903344722, 3903344725, 3903344727, 3903344915]",5,432
"POLYGON ((13.3952298 52.5258462, 13.395635 52.5259131, 13.3958594 52.525383, 13.3954463 52.5253176, 13.3952298 52.5258462))","[1503717599, 1503717615, 1503717559, 1503717553, 1503717599]",4,123
"POLYGON ((13.3813312 52.526877, 13.3813403 52.526828, 13.3813711 52.5266703, 13.3814104 52.5264469, 13.3813745 52.5264445, 13.3804887 52.526384, 13.3804356 52.526672, 13.3803517 52.5266663, 13.3802639 52.5266602, 13.3802528 52.5267298, 13.380425 52.5267413, 13.3804106 52.5268143, 13.3813312 52.526877))","[4151869394, 4597099726, 4476029913, 4151869992, 4597099728, 4151831198, 4643011506, 5794297287, 4643011505, 4643011507, 8795775568, 4151869294, 4151869394]",5,32
"POLYGON ((13.3706218 52.5357608, 13.3706985 52.535694, 13.3707318 52.5357082, 13.370751 52.5356915, 13.3707624 52.5356963, 13.3707802 52.5356802, 13.371461 52.5359704, 13.3713502 52.5360669, 13.3713468 52.5360699, 13.3712163 52.5360142, 13.3711791 52.5360467, 13.3707773 52.5358766, 13.3708157 52.5358435, 13.3706218 52.5357608))","[4210456624, 4210456607, 4210456609, 4210456606, 4210456608, 4210456603, 4210456648, 4210456663, 4210456664, 4210456654, 4210456660, 4210456638, 4210456635, 4210456624]",4,231
"POLYGON ((13.372077 52.5354253, 13.3720539 52.5354454, 13.3720482 52.5354501, 13.3720547 52.5354528, 13.3719906 52.5355086, 13.3717577 52.5354091, 13.3717195 52.5353929, 13.3713177 52.5352211, 13.3713448 52.5351976, 13.3712929 52.5351754, 13.3713871 52.5350935, 13.3714393 52.5351157, 13.3714691 52.5350896, 13.3721417 52.535377, 13.3720855 52.5354259, 13.3720794 52.5354232, 13.372077 52.5354253))","[4210455461, 4210455467, 4210455468, 4210455470, 4210455482, 4210455457, 4210455453, 4210455444, 4210455442, 4210455441, 4210455437, 4210455439, 4210455435, 4210455451, 4210455459, 4210455458, 4210455461]",5,46
"POLYGON ((13.3706218 52.5357608, 13.3705953 52.5357841, 13.3704678 52.5357294, 13.3704469 52.5357476, 13.3704602 52.5357532, 13.3704276 52.535781, 13.3703533 52.5357486, 13.3703855 52.5357211, 13.3703988 52.5357268, 13.3704196 52.5357087, 13.3700929 52.5355683, 13.3700854 52.5355748, 13.3699551 52.5355191, 13.3699767 52.5355003, 13.3700528 52.5354341, 13.3700816 52.5354091, 13.3702541 52.5354828, 13.3702281 52.5355055, 13.3704765 52.5356116, 13.3705167 52.5355767, 13.3705598 52.5355951, 13.3705811 52.5355768, 13.3707476 52.5354314, 13.3707361 52.5354265, 13.3708883 52.5352941, 13.3708998 52.535299, 13.3710155 52.5351983, 13.3710485 52.5351696, 13.371128 52.5351004, 13.3707945 52.5349579, 13.3707685 52.5349805, 13.3706381 52.5349248, 13.3706669 52.5348998, 13.370743 52.5348336, 13.3707638 52.5348155, 13.370894 52.5348714, 13.3708883 52.5348763, 13.3712156 52.5350162, 13.3712373 52.5349972, 13.3712235 52.5349914, 13.3712577 52.5349619, 13.3713327 52.5349943, 13.3712989 52.5350236, 13.3712856 52.5350179, 13.3712638 52.5350368, 13.3713902 52.5350908, 13.3713871 52.5350935, 13.3712929 52.5351754, 13.3710682 52.5353709, 13.371079 52.5353755, 13.3710722 52.5353814, 13.3711024 52.5353943, 13.3710584 52.5354326, 13.3710668 52.5354362, 13.3710161 52.5354803, 13.3710076 52.5354767, 13.3709636 52.535515, 13.3709335 52.5355021, 13.3709267 52.535508, 13.3709171 52.5355039, 13.3706985 52.535694, 13.3706218 52.5357608))","[4210456624, 4210456629, 4210456615, 4210456620, 4210456623, 4210456627, 4210456621, 4210456613, 4210456614, 4210456611, 4210455486, 4210455487, 4210455484, 4210455476, 4210455465, 4210455456, 4210455474, 4210455479, 4210456596, 4210455488, 4210456592, 4210456589, 4210455463, 4210455460, 4210455445, 4210455446, 4210455443, 4210455440, 4210455438, 4210455411, 4210455413, 4210455410, 4210455409, 4210455406, 4210455405, 4210455407, 4210455408, 4210455424, 4210455421, 4210455418, 4210455412, 4210455419, 4210455431, 4210455427, 4210455433, 4210455436, 4210455437, 4210455441, 4210455449, 4210455450, 4210455452, 4210455454, 4210455464, 4210455466, 4210455473, 4210455472, 4210455483, 4210455477, 4210455481, 4210455478, 4210456607, 4210456624]",5,54
"POLYGON ((13.3698775 52.5358603, 13.370042 52.5357337, 13.3702601 52.5358392, 13.3705294 52.5359694, 13.3703649 52.536096, 13.3698775 52.5358603))","[4706899730, 4706899729, 4706899728, 4706899727, 4706899726, 4706899730]",3,95
"POLYGON ((13.374759 52.5273291, 13.3746793 52.52732, 13.3747065 52.5271625, 13.3749231 52.5271854, 13.3749177 52.5272095, 13.3750378 52.5272229, 13.375025 52.5272753, 13.3750036 52.5273471, 13.374996 52.5273458, 13.3748819 52.5273322, 13.3748795 52.5273426, 13.374759 52.5273291))","[538979771, 8792829473, 8792829472, 8792829471, 8792829470, 8792829469, 8792829468, 8792829467, 688232432, 8792829474, 8792829475, 538979771]",,214
"POLYGON ((13.3769006 52.5270214, 13.3768167 52.5269867, 13.3768566 52.5269539, 13.3768441 52.5269484, 13.3768747 52.5269215, 13.3767914 52.5268855, 13.3771627 52.5265569, 13.3772466 52.5265908, 13.3772808 52.526563, 13.3771976 52.5265288, 13.37723 52.5264986, 13.3773185 52.5265366, 13.3773769 52.5264854, 13.3774293 52.5265063, 13.3774873 52.5264504, 13.3777622 52.5265659, 13.3777039 52.5266181, 13.3777383 52.5266315, 13.3778445 52.5266767, 13.3777709 52.5267416, 13.3778019 52.5267546, 13.3777497 52.5268023, 13.3778008 52.5268231, 13.3774238 52.5271535, 13.3773381 52.5271181, 13.3773094 52.5271438, 13.3772979 52.5271389, 13.3772576 52.5271719, 13.3771755 52.5271374, 13.377202 52.5271131, 13.377214 52.5271022, 13.3771825 52.5270877, 13.3775875 52.5267366, 13.377375 52.5266497, 13.3769725 52.5270027, 13.3769384 52.5269892, 13.3769006 52.5270214))","[8792830337, 8792830336, 8792830339, 4556857283, 4556857282, 2770793044, 8792830332, 8792830331, 8792830329, 8792830330, 2770793047, 4556857289, 4556857293, 4556857290, 8792830334, 8792830333, 8792830335, 4556857288, 4556857295, 4556857296, 2770793049, 3342715645, 3342715646, 2770793051, 4556857281, 4556857280, 8792830342, 8792830341, 8792830340, 8805103786, 8792830343, 2770793054, 2770793056, 2770793058, 2770793061, 8792830338, 8792830337]",,453
"POLYGON ((13.3967403 52.5254445, 13.3967751 52.5253663, 13.3968392 52.5252225, 13.396709 52.525201, 13.3965798 52.5251797, 13.3965166 52.5253216, 13.3964809 52.5254017, 13.3967403 52.5254445), (13.3967106 52.5253207, 13.3967274 52.5253157, 13.3967364 52.5253271, 13.3967033 52.5253368, 13.3966869 52.5253793, 13.3965922 52.5253659, 13.3966081 52.5253246, 13.3965906 52.5253015, 13.3966092 52.5252963, 13.3966147 52.5253035, 13.3967106 52.5253207))","[[[3903344495, 3903344461, 3903344397, 2769686955, 3903344423, 3903344489, 3903344509, 3903344495], [1502932846, 3903378097, 3903378098, 3903378100, 1502932853, 1502932854, 3903378102, 3903378101, 3903378099, 1502932848, 1502932846]]]",5,
