geometry,nodes,building:levels,available_beds
"POLYGON ((13.375469 52.5281666, 13.3755059 52.5281231, 13.3755239 52.5281018, 13.3755826 52.5280304, 13.3755672 52.528026, 13.375752 52.527788, 13.3757664 52.5277699, 13.3758521 52.5277981, 13.3758705 52.5278035, 13.3759982 52.5278408, 13.3760228 52.5278485, 13.3759041 52.5279992, 13.3758193 52.527976, 13.3757439 52.5280685, 13.3757834 52.5280793, 13.3758323 52.5280957, 13.3757703 52.5281691, 13.3757134 52.5282403, 13.3755849 52.5282018, 13.3755541 52.5281924, 13.375469 52.5281666))","[538991839, 8792829444, 8792829435, 8792829430, 538979780, 688232160, 538979781, 3342715767, 538988609, 688232549, 8792829437, 538979759, 538979761, 538979762, 538979763, 688232589, 688232351, 1217541399, 4556857270, 4556857268, 538991839]",4,125
"POLYGON ((13.3776481 52.5235404, 13.3775243 52.5234904, 13.3775456 52.523471, 13.377363 52.5233973, 13.3772176 52.5235306, 13.3773846 52.523598, 13.3775612 52.5236693, 13.3776853 52.5235554, 13.3776481 52.5235404))","[538976114, 2456672601, 2456672599, 538976117, 538976119, 538986135, 538976121, 2456672604, 538976114]",,120
"POLYGON ((13.3773571 52.523854, 13.3773381 52.5238714, 13.3772618 52.5239414, 13.3774013 52.5239977, 13.3775127 52.5238955, 13.3775313 52.523903, 13.3775464 52.5238891, 13.3775683 52.523869, 13.3775604 52.5238658, 13.3775789 52.5238489, 13.3776729 52.5237626, 13.3776375 52.5237483, 13.3777804 52.5236172, 13.3779429 52.5234682, 13.3779814 52.5234837, 13.3780496 52.5234211, 13.3780214 52.5234097, 13.377963 52.5233862, 13.3779218 52.5233695, 13.3778357 52.5233348, 13.377755 52.5234088, 13.3777804 52.523419, 13.377699 52.5234937, 13.3776481 52.5235404, 13.3776853 52.5235554, 13.3775612 52.5236693, 13.3775517 52.523678, 13.3774233 52.5237957, 13.3773736 52.5237757, 13.3773093 52.5238347, 13.3773571 52.523854))","[2456672620, 5528443783, 538976125, 538976100, 2456672626, 2456672628, 3342715057, 2456672624, 2456672622, 538996193, 2456672612, 2456672611, 3342714996, 538976102, 538976104, 538976109, 2456672595, 2456672592, 2456672590, 538976112, 2456672594, 2456672596, 2456672602, 538976114, 2456672604, 538976121, 5528443730, 2456672616, 2456672614, 2456672618, 2456672620]",,210
"POLYGON ((13.3786187 52.527336, 13.3786512 52.5271056, 13.3786953 52.5268596, 13.3787291 52.5266675, 13.3786634 52.5266626, 13.3785092 52.5266512, 13.3784888 52.5266506, 13.378469 52.5267601, 13.378365 52.5267552, 13.3783542 52.5268148, 13.3783446 52.5268659, 13.3783342 52.526922, 13.3784435 52.526929, 13.3783899 52.5272261, 13.3783838 52.5272713, 13.3783811 52.5273027, 13.3783563 52.5273165, 13.3786187 52.527336))","[287022692, 538903124, 539071190, 8792830318, 8792829502, 8792829516, 8792830317, 8792829512, 8792829513, 8792829494, 8792829495, 8792829514, 8792829515, 539068723, 8792829509, 8792829510, 8792829511, 287022692]",5,220
"POLYGON ((13.3981231 52.5263552, 13.3981125 52.5263786, 13.3980269 52.5263648, 13.3980392 52.5263426, 13.3979934 52.526333, 13.3980834 52.52615, 13.3980695 52.5261477, 13.3980809 52.5261203, 13.3980695 52.5261182, 13.3981217 52.5260036, 13.3981592 52.5260094, 13.3981684 52.5259883, 13.3981603 52.5259869, 13.3981634 52.5259799, 13.3981715 52.5259812, 13.3981768 52.5259693, 13.3981686 52.525968, 13.3981711 52.5259624, 13.3981792 52.5259637, 13.3981865 52.5259473, 13.3981938 52.5259307, 13.3981804 52.5259278, 13.3981788 52.5259314, 13.3981661 52.5259301, 13.3981707 52.5259192, 13.3981779 52.5259204, 13.3981819 52.5259112, 13.3981747 52.52591, 13.3981771 52.5259043, 13.3981843 52.5259055, 13.3981931 52.5258849, 13.3981859 52.5258837, 13.3981883 52.5258783, 13.3981954 52.5258794, 13.398202 52.525864, 13.3981948 52.5258628, 13.3981979 52.5258558, 13.3982068 52.5258572, 13.3982086 52.525853, 13.3982178 52.5258545, 13.3982161 52.5258587, 13.3982283 52.5258607, 13.3982925 52.5257175, 13.3983058 52.5256885, 13.3983272 52.5256917, 13.3984623 52.5257119, 13.3985622 52.5257274, 13.3985297 52.5258003, 13.3985215 52.5257994, 13.3984613 52.5259268, 13.3984697 52.5259286, 13.3984727 52.5259331, 13.3984451 52.5259907, 13.3984149 52.5260536, 13.398402 52.5260595, 13.398397 52.5260592, 13.3982689 52.5263319, 13.3983666 52.5263496, 13.3983459 52.526393, 13.3982512 52.5263769, 13.3981231 52.5263552))","[3903345373, 3903345386, 3903345378, 3903345366, 3903345358, 3903345047, 3903345044, 3903345029, 3903345027, 3903344933, 3903344940, 3903344922, 3903344921, 3903344916, 3903344918, 3903344911, 3903344909, 3903344906, 3903344907, 3903344899, 3903344887, 3903344883, 3903344888, 3903344885, 3903344875, 3903344877, 3903344870, 3903344869, 3903344866, 3903344867, 3903344857, 3903344755, 3903344748, 3903344750, 3903344740, 3903344738, 3903344731, 3903344734, 3903344728, 3903344729, 3903344735, 3903344736, 3903344668, 3903344660, 3903344662, 3903344667, 3903344671, 3903344704, 3903344703, 3903344882, 3903344884, 3903344890, 940860734, 3903344970, 3903344980, 3903344979, 3903345357, 3903345370, 3903345396, 3903345385, 3903345373]",4,132
"POLYGON ((13.3712959 52.5365705, 13.3713346 52.5365411, 13.3712919 52.5365203, 13.3711715 52.5364615, 13.3712037 52.5364369, 13.3712806 52.5363784, 13.3714031 52.536436, 13.3714121 52.5364288, 13.3714307 52.5364376, 13.3714343 52.5364347, 13.3714518 52.536443, 13.3714455 52.5364479, 13.3714525 52.5364512, 13.3714624 52.5364434, 13.3715908 52.5365037, 13.3715809 52.5365116, 13.3715879 52.5365149, 13.3715942 52.5365099, 13.3716117 52.5365181, 13.3716081 52.536521, 13.3716266 52.5365297, 13.3716176 52.5365368, 13.3717402 52.5365944, 13.3715894 52.5367137, 13.3712959 52.5365705))","[4210456725, 4210456719, 4210456716, 4210456705, 4210456701, 614637036, 671063419, 614637037, 671063422, 671063423, 671063420, 671063421, 671063418, 671063453, 4210456712, 671063454, 4210456714, 4210456713, 4210456715, 4210456717, 671063425, 671063424, 614637040, 614637106, 4210456725]",4,145
"POLYGON ((13.3724997 52.5364622, 13.3726321 52.5365188, 13.372785 52.5365841, 13.3726191 52.5367283, 13.3720939 52.5365041, 13.3721393 52.5364643, 13.3721418 52.5364654, 13.3721576 52.5364517, 13.3721152 52.5364337, 13.3721974 52.536362, 13.372237 52.536379, 13.3722592 52.5363599, 13.3724647 52.5364473, 13.372479 52.5364534, 13.3724997 52.5364622))","[4210456706, 6421168917, 614637044, 614637128, 614637041, 4210456708, 4210456709, 4210456703, 4210456700, 614637043, 671045588, 671045587, 4210456702, 6421168921, 4210456706]",5,432
"POLYGON ((13.3729682 52.5361773, 13.3729557 52.5361879, 13.3729066 52.5361665, 13.372919 52.5361559, 13.3728698 52.5361345, 13.3728518 52.5361499, 13.3726806 52.5362961, 13.3726768 52.5362946, 13.3726564 52.5362857, 13.3726419 52.5362794, 13.3725692 52.5362476, 13.3727367 52.5361046, 13.3727133 52.5360944, 13.3727703 52.5360458, 13.3727194 52.5360236, 13.3727648 52.5359849, 13.3728157 52.5360071, 13.3728667 52.5359636, 13.3728901 52.5359737, 13.3730601 52.5358286, 13.3730685 52.5358322, 13.3731221 52.5357865, 13.3731137 52.5357829, 13.373284 52.5356375, 13.3734629 52.5357103, 13.3732337 52.5359061, 13.3732433 52.5359103, 13.3732065 52.5359417, 13.3731921 52.5359354, 13.3730362 52.5360685, 13.3731861 52.5361338, 13.3731826 52.5361367, 13.3732017 52.5361452, 13.3731891 52.5361557, 13.37317 52.5361473, 13.3730773 52.5362248, 13.3729682 52.5361773))","[4210456682, 4210456684, 4210456680, 4210456677, 614637048, 6421168913, 614637046, 4210456692, 6421168920, 4210456691, 614637045, 4210456668, 4210456667, 4210456659, 4210456655, 4210456651, 4210456653, 4210456647, 4210456649, 4210456633, 4210456634, 4210456630, 4210456628, 614637065, 614637063, 4210456639, 4210456641, 4210456646, 4210456645, 614637052, 614637088, 4210456672, 4210456673, 4210456676, 4210456675, 614637050, 4210456682]",3,123
"POLYGON ((13.3714627 52.5347182, 13.3716143 52.5347753, 13.3715439 52.5348447, 13.3713923 52.5347875, 13.3714627 52.5347182))","[671045545, 671045542, 671045543, 671045544, 671045545]",1,32
"POLYGON ((13.3748688 52.5277763, 13.3749372 52.5275454, 13.374996 52.5273458, 13.3748819 52.5273322, 13.3748795 52.5273426, 13.374759 52.5273291, 13.3746364 52.5277501, 13.3748688 52.5277763))","[8792829454, 538988088, 688232432, 8792829474, 8792829475, 538979771, 538979770, 8792829454]",3,231
